#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.sense|SenseID|Number_of_candidate_senses|List_of_candidate_senses|Comment|Ainotes


#Text=Mnogo je siromaštva i nezaposlenosti.
239-23	19557-19558	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Komplikacije su direktna posledica gojaznosti ili su indirektno povezane s mehanizmima koji imaju isti uzrok, kao što je loša ishrana ili sedentarni način života.
240-1	19558-19570	Komplikacije	N	NOUN	_	_	komplikacija	_	_	_	ENG30-14074041-n	1	ENG30-14074041-n	*	simple_wsd - ENG30-14074041-n:0.9805::svaka bolest ili poremećaj do kojih dolazi tokom (ili zbog) drugih bolesti	
240-2	19571-19573	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
240-3	19574-19582	direktna	A	ADJ	_	_	direktan	_	_	_	ENG30-01852666-a	5	ENG30-00005473-a;ENG30-00763633-a;ENG30-00914808-a;ENG30-01416508-a;ENG30-01852666-a	*	simple_wsd - ENG30-01852666-a:0.7753::koji je kao neposredan rezultat ili posledica - ENG30-00763633-a:0.6177::koji struji samo u jednom pravcu; bez promene - ENG30-01416508-a:0.1358::koji je u pravoj, neprekinutoj liniji porekla od roditelja do deteta	
240-4	19583-19592	posledica	N	NOUN	_	_	posledica	_	_	_	ENG30-14311348-n	2	ENG30-11410625-n;ENG30-14311348-n	*	simple_wsd - ENG30-14311348-n:0.9385::simptom izazvan bolešću ili drogom - ENG30-11410625-n:0.6315::Fenomen koji sledi i koga je izazvao neki prethodni fenomen.	
240-5	19593-19603	gojaznosti	N	NOUN	_	_	gojaznost	_	_	_	ENG30-05000537-n	2	ENG30-05000342-n;ENG30-05000537-n	*	simple_wsd - ENG30-05000537-n:0.9432::svojstvo prekomerne debljine - ENG30-05000342-n:0.2478::debljina veća od uobičajene	
240-6	19604-19607	ili	CONJ	CCONJ	_	_	ili	_	_	_	_	_	_	_	_	
240-7	19608-19610	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
240-8	19611-19621	indirektno	ADV	ADV	_	_	indirektno	_	_	_	DRJ0-245892/0	1	DRJ0-245892/0	*	simple_wsd - DRJ0-245892/0:0.5038::na indirektan način, posredno.	
240-9	19622-19630	povezane	A	ADJ	_	_	povezan	_	_	_	ENG30-00566099-a	6	CV0114;ENG30-00566099-a;ENG30-00731955-a;ENG30-01064806-a;ENG30-01481812-a;ENG30-02476485-a	*	simple_wsd - ENG30-00566099-a:0.5133::Spojen ili vezan. - CV0114:0.4504::koji je u bliskoj, tesnoj uzajamnoj vezi (logičkoj, smisaonoj, duhovnoj, uzročno-posledičnoj, funkcionalnoj, i dr.) s n… - ENG30-00731955-a:0.2208::koji je spojen ugovorom ili sporazumom	
240-10	19631-19632	s	PREP	ADP	_	_	s	_	_	_	_	_	_	_	_	
240-11	19633-19644	mehanizmima	N	NOUN	_	_	mehanizam	_	_	_	ENG30-03738472-n	4	ENG30-00098385-n;ENG30-02677718-n;ENG30-03738472-n;ENG30-09349797-n	*	simple_wsd - ENG30-03738472-n:0.1790::Sprava koja se sastoji od delova mašinerije; ima pokretne delovi koji obavljaju neku funkciju. - ENG30-00098385-n:0.1308::Tehnički aspekti funkcije nečega. - ENG30-09349797-n:0.0423::prirodni predmet koji liči na mašinu po strukturi i funkciji	
240-12	19645-19649	koji	PRO	DET	_	_	koji	_	_	_	_	_	_	_	_	
240-13	19650-19655	imaju	V	VERB	_	_	imati	_	_	_	ENG30-00065370-v	11	ENG30-00065370-v;ENG30-00121046-v;ENG30-01426397-v;ENG30-02047097-v;ENG30-02203362-v;ENG30-02204692-v;ENG30-02205098-v;ENG30-02302220-v;ENG30-02629535-v;ENG30-02704349-v;ENG30-02740745-v	*	simple_wsd - ENG30-00065370-v:0.9842::Patiti od nečega; bolovati od nečega. - ENG30-02205098-v:0.9614::imati preostalo - ENG30-02740745-v:0.9610::biti suočen s nečim	
240-14	19656-19660	isti	A	ADJ	_	_	isti	_	_	_	ENG30-01410606-a	4	ENG30-01410606-a;ENG30-01411065-a;ENG30-02062670-a;ENG30-02068476-a	*	simple_wsd - ENG30-01410606-a:0.3546::ima iste ili slične karakteristike - ENG30-02068476-a:0.1188::isti u identitetu - ENG30-01411065-a:0.1169::jednak po količini ili vrednosti	
240-15	19661-19666	uzrok	N	NOUN	_	_	uzrok	_	_	_	ENG30-06740402-n	2	ENG30-06740402-n;ENG30-07326557-n	*	simple_wsd - ENG30-06740402-n:0.5713::opravdanje za nešto što postoji ili se dešava - ENG30-07326557-n:0.2727::Događaji koji obezbeđuju pokretačku snagu koja je poreklo nečega.	
240-16	19666-19667	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
240-17	19668-19671	kao	CONJ	SCONJ	_	_	kao	1[256]	kao što[256]	ConjID[256]	LLM-0091[2164]	1[2164]	LLM-0091[2164]	*[556]	simple_wsd - LLM-0091:0.1362::Veznik koji uvodi poređenje ili primer; na način kao.[2164]	
240-18	19672-19675	što	CONJ	SCONJ	_	_	što	1[256]	kao što[256]	ConjID[256]	LLM-0091[2164]	1[2164]	LLM-0091[2164]	*[556]	simple_wsd - LLM-0091:0.1362::Veznik koji uvodi poređenje ili primer; na način kao.[2164]	
240-19	19676-19678	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
240-20	19679-19683	loša	A	ADJ	_	_	loš	_	_	_	ENG30-01125429-a	4	ENG30-01125429-a;ENG30-01131043-a;ENG30-01587787-a;ENG30-02345713-a	*	simple_wsd - ENG30-01125429-a:0.9635::imati neželjene ili negativne kvalitete - ENG30-01587787-a:0.5215::okarakterisan zlobom - ENG30-01131043-a:0.3614::Koji je moralno lož ili pogrešan.	
240-21	19684-19691	ishrana	N	NOUN	_	_	ishrana	_	_	_	ENG30-00838098-n	4	ENG30-00838098-n;ENG30-05811214-n;ENG30-07560903-n;ENG30-07561112-n	*	simple_wsd - ENG30-00838098-n:0.3041::proces unošenja hrane u telo kroz usta (kao jelom) - ENG30-07560903-n:0.2107::uobičajena hrana i piće koje konzumira organizam (osoba ili životinja) - ENG30-07561112-n:0.1305::propisani izbor namirnica	
240-22	19692-19695	ili	CONJ	CCONJ	_	_	ili	_	_	_	_	_	_	_	_	
240-23	19696-19706	sedentarni	A	ADJ	_	_	sedentaran	_	_	_	CVDf-155/0	1	CVDf-155/0	*	simple_wsd - CVDf-155/0:0.0584::koji mnogo sedi, koji je navikao da dugo sedi	
240-24	19707-19712	način	N	NOUN	_	_	način	2[257]	način života[257]	NID[257]	CVMWE-0215[2165]	1[2165]	CVMWE-0215[2165]	*[557]	simple_wsd - CVMWE-0215:0.4873::način na koji osoba živi[2165]	
240-25	19713-19719	života	N	NOUN	_	_	život	2[257]	način života[257]	NID[257]	CVMWE-0215[2165]	1[2165]	CVMWE-0215[2165]	*[557]	simple_wsd - CVMWE-0215:0.4873::način na koji osoba živi[2165]	
240-26	19719-19720	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=To je glavni uzrok smrti među svim starosnim grupama, što dovodi do 4 miliona smrtnih slučajeva (7 % ukupne smrtnosti u svetu) godišnje.
241-1	19720-19722	To	PRO	DET	_	_	taj	_	_	_	_	_	_	_	_	
241-2	19723-19725	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
241-3	19726-19732	glavni	A	ADJ	_	_	glavni	_	_	_	ENG30-01472628-a	6	ENG30-00730215-a;ENG30-01012990-a;ENG30-01277426-a;ENG30-01472628-a;ENG30-01852174-a;ENG30-01852548-a	*	simple_wsd - ENG30-01472628-a:0.4696::veće važnosti ili ugleda ili ranga - ENG30-01852174-a:0.1731::prvog ranga ili važnosti ili vrednosti; direktno i neposredno, a ne iz druge ruke - ENG30-01852548-a:0.1568::koji je od primarnog značaja	
241-4	19733-19738	uzrok	N	NOUN	_	_	uzrok	_	_	_	ENG30-06740402-n	2	ENG30-06740402-n;ENG30-07326557-n	*	simple_wsd - ENG30-06740402-n:0.4488::opravdanje za nešto što postoji ili se dešava - ENG30-07326557-n:0.1261::Događaji koji obezbeđuju pokretačku snagu koja je poreklo nečega.	
241-5	19739-19744	smrti	N	NOUN	_	_	smrt	_	_	_	ENG30-13962498-n	4	ENG30-00219575-n;ENG30-11444117-n;ENG30-13962498-n;ENG30-15143477-n	*	simple_wsd - ENG30-13962498-n:0.9678::odsustvo života ili stanje mrtvog - ENG30-00219575-n:0.8405::čin ubistva - ENG30-11444117-n:0.5670::Trajan kraj svih životnih funkcija u organizmu ili delu organizma.	
241-6	19745-19749	među	PREP	ADP	_	_	među	_	_	_	_	_	_	_	_	
241-7	19750-19754	svim	PRO	DET	_	_	sav	_	_	_	_	_	_	_	_	
241-8	19755-19764	starosnim	A	ADJ	_	_	starosni	1[258]	starosna grupa[258]	NID[258]	CVMWE-0423[2166]	2[2166]	CVMWE-0423;ENG30-07943480-n[2166]	*[558]	simple_wsd - CVMWE-0423:0.4708::izvestan broj ljudi ili stvari koje su zajedno klasifikovane jer su slične po starosti - ENG30-07943480-n:-0.1249::Grupa ljudi koji imaju približno iste godine.[2166]	
241-9	19765-19772	grupama	N	NOUN	_	_	grupa	1[258]	starosna grupa[258]	NID[258]	CVMWE-0423[2166]	2[2166]	CVMWE-0423;ENG30-07943480-n[2166]	*[558]	simple_wsd - CVMWE-0423:0.4708::izvestan broj ljudi ili stvari koje su zajedno klasifikovane jer su slične po starosti - ENG30-07943480-n:-0.1249::Grupa ljudi koji imaju približno iste godine.[2166]	
241-10	19772-19773	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
241-11	19774-19777	što	CONJ	SCONJ	_	_	što	_	_	_	_	_	_	_	_	
241-12	19778-19784	dovodi	V	VERB	_	_	dovoditi	_	_	_	ENG30-02686625-v	2	ENG30-01434140-v;ENG30-02686625-v	*	simple_wsd - ENG30-02686625-v:0.5816::učiniti da se šta dogodi ili da šta uzrokuje - ENG30-01434140-v:0.0060::kime praćen biti	
241-13	19785-19787	do	PREP	ADP	_	_	do	_	_	_	_	_	_	_	_	
241-14	19788-19789	4	NUM	NUM	_	_	4	_	_	_	_	_	_	_	_	
241-15	19790-19797	miliona	N	NOUN	_	_	milion	_	_	_	CV0045	2	CV0045;ENG30-13751533-n	*	simple_wsd - CV0045:0.9018::neodređen, veoma veliki broj, koristi se često kao hiperbola - ENG30-13751533-n:-0.0243::broj koji je predstavljen kao jedinica praćen sa 6 nula	
241-16	19798-19805	smrtnih	A	ADJ	_	_	smrtan	_	_	_	ENG30-01721691-a	2	ENG30-01721691-a;ENG30-02053526-a	*	simple_wsd - ENG30-01721691-a:0.9804::uključuje gubitak božje milosti ili duhovnu smrt - ENG30-02053526-a:0.9196::koji je kažnjiv smrću	
241-17	19806-19815	slučajeva	N	NOUN	_	_	slučaj	_	_	_	ENG30-06784966-n	7	ENG30-06649426-n;ENG30-06784966-n;ENG30-07300960-n;ENG30-07308889-n;ENG30-09898892-n;ENG30-13766436-n;ENG30-13943400-n	*	simple_wsd - ENG30-06784966-n:0.8662::problem koji zahteva istragu - ENG30-13766436-n:0.8396::količina sadržana u kućištu - ENG30-07300960-n:0.8343::bilo šta što se desi slučajno bez očiglednog razloga	
241-18	19816-19817	(	PUNCT	PUNCT	_	_	(	_	_	_	_	_	_	_	_	
241-19	19817-19818	7	NUM	NUM	_	_	7	_	_	_	_	_	_	_	_	
241-20	19819-19820	%	PUNCT	SYM	_	_	%	_	_	_	_	_	_	_	_	
241-21	19821-19827	ukupne	A	ADJ	_	_	ukupan	_	_	_	ENG30-00526062-a	2	ENG30-00515380-a;ENG30-00526062-a	*	simple_wsd - ENG30-00526062-a:0.2361::širok u obimu ili sadržaju - ENG30-00515380-a:0.0029::koga čini cela količina ili raspon; koji obuhvata sve delove, sve elemente, celokupan	
241-22	19828-19837	smrtnosti	N	NOUN	_	_	smrtnost	_	_	_	ENG30-15277118-n	1	ENG30-15277118-n	*	simple_wsd - ENG30-15277118-n:0.8619::Odnos broja umrlih prema ukupnoj polulaciji na nekom područjy; izražava se na 1000 u toku godine.	
241-23	19838-19839	u	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	
241-24	19840-19845	svetu	N	NOUN	_	_	svet	_	_	_	ENG30-07947255-n	5	ENG30-05809878-n;ENG30-07947255-n;ENG30-07965937-n;ENG30-09466280-n;ENG30-09480809-n	*	simple_wsd - ENG30-07947255-n:0.8090::Ljudi uopšte. - ENG30-05809878-n:0.0816::Nečije celokupno iskustvo koje određuje kako mu stvari izgledaju. - ENG30-09480809-n:0.0012::deo Zemlje koji se može posebno razmatrati	
241-25	19845-19846	)	PUNCT	PUNCT	_	_	)	_	_	_	_	_	_	_	_	
241-26	19847-19855	godišnje	ADV	ADV	_	_	godišnje	_	_	_	ENG30-00081737-b	3	CV0052;ENG30-00081737-b;ENG30-00250570-b	*	simple_wsd - ENG30-00081737-b:0.2014::bez propuštanja godine - ENG30-00250570-b:0.0277::po godini; svake godine (obično se odnosi na uplaćenu ili primljenu sumu novca) - CV0052:-0.0008::jedanput u godini, svake godine jedanput	
241-27	19855-19856	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Prenos hepatitisa C s majke na dete javlja se u manje od 10 % trudnoća.
242-1	19856-19862	Prenos	N	NOUN	_	_	prenos	_	_	_	ENG30-07360647-n	6	ENG30-00121366-n;ENG30-00315986-n;ENG30-04472243-n;ENG30-06251781-n;ENG30-06254007-n;ENG30-07360647-n	*	simple_wsd - ENG30-07360647-n:0.9256::incident u kojem se prenosi zarazna bolest - ENG30-00315986-n:0.5390::Čin prenosa nečega sa jednog mesta na drugo. - ENG30-00121366-n:0.3151::čin slanja poruke; uzrokujući da se poruka prenese	
242-2	19863-19873	hepatitisa	N	NOUN	_	_	hepatitis	2[259]	hepatitis C[259]	NID[259]	CVMWE-0115[2167]	1[2167]	CVMWE-0115[2167]	*[559]	simple_wsd - CVMWE-0115:0.9690::zapaljenje jetre uzrokovano virusom hepatitisa C[2167]	
242-3	19874-19875	C	ABB	X	_	_	C	2[259]	hepatitis C[259]	NID[259]	CVMWE-0115[2167]	1[2167]	CVMWE-0115[2167]	*[559]	simple_wsd - CVMWE-0115:0.9690::zapaljenje jetre uzrokovano virusom hepatitisa C[2167]	
242-4	19876-19877	s	PREP	ADP	_	_	s	_	_	_	_	_	_	_	_	
242-5	19878-19883	majke	N	NOUN	_	_	majka	_	_	_	ENG30-10332385-n	1	ENG30-10332385-n	*	simple_wsd - ENG30-10332385-n:0.4808::Žena koja je rodila dete (koristi se i za obraćanje sopstvenoj majci).	
242-6	19884-19886	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	_	
242-7	19887-19891	dete	N	NOUN	_	_	dete	_	_	_	ENG30-10084295-n	3	ENG30-09917593-n;ENG30-09918248-n;ENG30-10084295-n	*	simple_wsd - ENG30-10084295-n:0.9494::mlada ženska osoba koja još nije devojka - ENG30-09917593-n:0.7385::Mlada osoba bilo kog pola (između rođenja i puberteta). - ENG30-09918248-n:0.0458::Ljudski potomak, sin ili kćerka, u bilo kom dobu.	
242-8	19892-19898	javlja	V	VERB	_	_	javljati	1	javljati se	IRV	CVMWE-0161[2168]	1[2168]	CVMWE-0161[2168]	*[560]	simple_wsd - CVMWE-0161:0.9452::pojaviti se, nastati (i o bolesti)[2168]	
242-9	19899-19901	se	PAR	PART	_	_	se	1	*	IRV	CVMWE-0161[2168]	1[2168]	CVMWE-0161[2168]	*[560]	simple_wsd - CVMWE-0161:0.9452::pojaviti se, nastati (i o bolesti)[2168]	
242-10	19902-19903	u	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	
242-11	19904-19909	manje	ADV	ADV	_	_	manje	_	_	_	ENG30-00099868-b	1	ENG30-00099868-b	*	simple_wsd - ENG30-00099868-b:0.0813::komparativ od malo	
242-12	19910-19912	od	PREP	ADP	_	_	od	_	_	_	_	_	_	_	_	
242-13	19913-19915	10	NUM	NUM	_	_	10	_	_	_	_	_	_	_	_	
242-14	19916-19917	%	PUNCT	SYM	_	_	%	_	_	_	_	_	_	_	_	
242-15	19918-19926	trudnoća	N	NOUN	_	_	trudnoća	_	_	_	ENG30-14046202-n	1	ENG30-14046202-n	*	simple_wsd - ENG30-14046202-n:0.9693::Stanje u kome je osoba trudna; period od zaćeća do porođaja kada žena nosi fetus u materici.	
242-16	19926-19927	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Izdavanje ove valute kontroliše Centralna banka Indije.
243-1	19927-19936	Izdavanje	N	NOUN	_	_	izdavanje	_	_	_	ENG30-01103614-n	2	ENG30-01060234-n;ENG30-01103614-n	*	simple_wsd - ENG30-01103614-n:0.8757::čin objavljivanja štampanog materijala - ENG30-01060234-n:0.8526::snabdevanje puštanjem u promet (obično u nekoj količini)	
243-2	19937-19940	ove	PRO	DET	_	_	ovaj	_	_	_	_	_	_	_	_	
243-3	19941-19947	valute	N	NOUN	_	_	valuta	_	_	_	ENG30-13385913-n	1	ENG30-13385913-n	*	simple_wsd - ENG30-13385913-n:0.8403::Metalni ili papirni medijum za razmenu koji je u tekućoj upotrebi.	
243-4	19948-19958	kontroliše	V	VERB	_	_	kontrolisati	_	_	_	ENG30-02520997-v	9	ENG30-00663160-v;ENG30-00663353-v;ENG30-00920336-v;ENG30-02441022-v;ENG30-02443049-v;ENG30-02443849-v;ENG30-02454939-v;ENG30-02510337-v;ENG30-02520997-v	*	simple_wsd - ENG30-02520997-v:0.9045::proveravati ili regulisati sprovođenjem paralelnog eksperimenta ili upoređivanjem sa drugim referentom (o naučnim ekspe… - ENG30-00663160-v:0.8531::proveriti pomoću duplog registra za poređenje - ENG30-02443849-v:0.7576::upravljati ili kontrolisati (projekte, kompanije itd)	
243-5	19959-19968	Centralna	A	ADJ	http://www.wikidata.org/entity/Q944085[70]	ORG[70]	centralni	_	_	_	ENG30-00509915-a	3	ENG30-00509915-a;ENG30-00820458-a;ENG30-01277097-a	*	simple_wsd - ENG30-00509915-a:0.7713::koncentrisan ili grupisan oko centralne tačke ili svrhe - ENG30-01277097-a:0.6950::Koji predtsvlja suštinsku komponentu - ENG30-00820458-a:0.3739::u fazi u razvoju jezika ili književnosti koja se nalazi između ranijih i kasnijih faza	
243-6	19969-19974	banka	N	NOUN	http://www.wikidata.org/entity/Q944085[70]	ORG[70]	banka	_	_	_	ENG30-08420278-n	1	ENG30-08420278-n	*	simple_wsd - ENG30-08420278-n:0.8478::Finansijska institucija koja prima depozite i usmerava novac u kreditne aktivnosti.	
243-7	19975-19981	Indije	N	PROPN	http://www.wikidata.org/entity/Q944085[70]	ORG[70]	Indija	_	_	_	_	_	_	_	_	
243-8	19981-19982	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Fobos izlazi na zapadu, zalazi na istoku i ponovo izlazi za samo 11 sati.
244-1	19982-19987	Fobos	N	PROPN	http://www.wikidata.org/entity/Q7547	*	Fobos	_	_	_	_	_	_	_	_	
244-2	19988-19994	izlazi	V	VERB	_	_	izlaziti	_	_	_	ENG30-02624263-v	5	ENG30-01842204-v;ENG30-02016062-v;ENG30-02486232-v;ENG30-02624263-v;ENG30-02741682-v	*	simple_wsd - ENG30-02624263-v:0.6239::nastati; kakvu formu ili oblik preuzeti - ENG30-02741682-v:0.5183::obezbeđuju pristup, ulaz nećemu - ENG30-02016062-v:0.5124::ostaviti vozilo, avion itd.	
244-3	19995-19997	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	_	
244-4	19998-20004	zapadu	N	NOUN	_	_	zapad	_	_	_	ENG30-13834399-n	2	ENG30-08561835-n;ENG30-13834399-n	*	simple_wsd - ENG30-13834399-n:0.6497::kardinalna tačka kompasa koja je na 270 stepeni - ENG30-08561835-n:0.3524::prvobitno zemlje Evrope a sada uključuju i Severnu i Južnu Ameriku	
244-5	20004-20005	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
244-6	20006-20012	zalazi	V	VERB	_	_	zalaziti	_	_	_	DRJ0-242107/0	1	DRJ0-242107/0	*	simple_wsd - DRJ0-242107/0:0.7127::nesvr. prema zaći.	
244-7	20013-20015	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	_	
244-8	20016-20022	istoku	N	NOUN	_	_	istok	_	_	_	ENG30-13832355-n	1	ENG30-13832355-n	*	simple_wsd - ENG30-13832355-n:0.8739::Glavna strana sveta 90 stepeni od severa ako se ide u smeru kazaljke na satu.	
244-9	20023-20024	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	
244-10	20025-20031	ponovo	ADV	ADV	_	_	ponovo	_	_	_	ENG30-00040365-b	1	ENG30-00040365-b	*	simple_wsd - ENG30-00040365-b:0.9003::nanovo	
244-11	20032-20038	izlazi	V	VERB	_	_	izlaziti	_	_	_	ENG30-02624263-v	5	ENG30-01842204-v;ENG30-02016062-v;ENG30-02486232-v;ENG30-02624263-v;ENG30-02741682-v	*	simple_wsd - ENG30-02624263-v:0.6043::nastati; kakvu formu ili oblik preuzeti - ENG30-02741682-v:0.5176::obezbeđuju pristup, ulaz nećemu - ENG30-02016062-v:0.4611::ostaviti vozilo, avion itd.	
244-12	20039-20041	za	PREP	ADP	_	_	za	_	_	_	_	_	_	_	_	
244-13	20042-20046	samo	ADV	ADV	_	_	samo	_	_	_	ENG30-00004722-b	6	ENG30-00004722-b;ENG30-00008600-b;ENG30-00011011-b;ENG30-00028797-b;ENG30-00158309-b;ENG30-00505114-b	*	simple_wsd - ENG30-00004722-b:0.7776::i ništa više; ne više nego, svega - ENG30-00011011-b:0.6495::ne pre nego (događaj, vremenski trenutak) - ENG30-00158309-b:0.3617::ukazivanje na tačnost ili preciznost	
244-14	20047-20049	11	NUM	NUM	_	_	11	_	_	_	_	_	_	_	_	
244-15	20050-20054	sati	N	NOUN	_	_	sat	_	_	_	ENG30-15228378-n	3	ENG30-03046257-n;ENG30-15227846-n;ENG30-15228378-n	*	simple_wsd - ENG30-15228378-n:0.7967::vreme po časovniku - ENG30-03046257-n:0.5686::uređaj koji pokazuje doba dana - ENG30-15227846-n:0.3613::period vremena koji iznosi 1/24 dana	
244-16	20054-20055	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Žoslena su oslepili i umro je u tamnici u Alepu 1159. godine.
245-1	20055-20062	Žoslena	N	PROPN	http://www.wikidata.org/entity/Q55503	PERS	Žoslen	_	_	_	_	_	_	_	_	
245-2	20063-20065	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
245-3	20066-20074	oslepili	V	VERB	_	_	oslepiti	_	_	_	ENG30-02168194-v	2	ENG30-02168194-v;ENG30-02168555-v	*	simple_wsd - ENG30-02168194-v:0.4173::učiniti slepim vađenjem očiju - ENG30-02168555-v:-0.0161::učiniti nemogućim da se vidi	
245-4	20075-20076	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	
245-5	20077-20081	umro	V	VERB	_	_	umreti	_	_	_	ENG30-02109818-v	3	ENG30-00358431-v;ENG30-00427683-v;ENG30-02109818-v	*	simple_wsd - ENG30-02109818-v:0.9787::patiti ili suočiti se sa bolom smrti - ENG30-00358431-v:0.9348::Napustiti fizički život i izgubiti sve telesne funkcije i atribute koji se neophodni da bi se održao život. - ENG30-00427683-v:0.0849::izumirati	
245-6	20082-20084	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
245-7	20085-20086	u	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	
245-8	20087-20094	tamnici	N	NOUN	_	_	tamnica	_	_	_	ENG30-13937284-n	2	ENG30-03592245-n;ENG30-13937284-n	*	simple_wsd - ENG30-13937284-n:0.9788::situacija nalik na zatvor; mesto prividnog zatočeništva - ENG30-03592245-n:0.6574::kazneno-popravna ustanova koja se koristi za zadržavanje lica koja su pod zakonskim nadzorom vlade (bilo optuženi koji …	
245-9	20095-20096	u	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	
245-10	20097-20102	Alepu	N	PROPN	http://www.wikidata.org/entity/Q41183	LOC	Alep	_	_	_	_	_	_	_	_	
245-11	20103-20108	1159.	A	ADJ	_	_	1159.	_	_	_	_	_	_	_	_	
245-12	20109-20115	godine	N	NOUN	_	_	godina	_	_	_	ENG30-15204297-n	5	ENG30-08238660-n;ENG30-15201505-n;ENG30-15202634-n;ENG30-15203791-n;ENG30-15204297-n	*	simple_wsd - ENG30-15204297-n:0.2468::Vremenski period koji zauzima stalni deo kalendarske godine i koristi se za neku određenu aktivnost. - ENG30-15203791-n:0.1689::Vremenski period od 365 (ili 366) dana. - ENG30-15201505-n:0.1631::Vremenski period koji je potreban planeti (npr, Zemlji ili Marsu) da napravi potpunu revoluciju oko Sunca.	
245-13	20115-20116	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Godine 1980. doktorirao je odbranivši disertaciju o problemima austrijske odbrambene politike.
246-1	20116-20122	Godine	N	NOUN	_	_	godina	_	_	_	ENG30-08238660-n	5	ENG30-08238660-n;ENG30-15201505-n;ENG30-15202634-n;ENG30-15203791-n;ENG30-15204297-n	*	simple_wsd - ENG30-08238660-n:0.8718::Zajednica studenata ili đaka koji zajedno diplomiraju. - ENG30-15204297-n:0.7538::Vremenski period koji zauzima stalni deo kalendarske godine i koristi se za neku određenu aktivnost. - ENG30-15201505-n:0.6543::Vremenski period koji je potreban planeti (npr, Zemlji ili Marsu) da napravi potpunu revoluciju oko Sunca.	
246-2	20123-20128	1980.	A	ADJ	_	_	1980.	_	_	_	_	_	_	_	_	
246-3	20129-20139	doktorirao	V	VERB	_	_	doktorirati	_	_	_	DRJ0-237372/0	1	DRJ0-237372/0	*	simple_wsd - DRJ0-237372/0:0.7000::položiti, polagati doktorski ispit, dobiti titulu doktora:	
246-4	20140-20142	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
246-5	20143-20153	odbranivši	V	VERB	_	_	odbraniti	_	_	_	ENG30-01149138-v	2	ENG30-00896141-v;ENG30-01149138-v	*	simple_wsd - ENG30-01149138-v:0.8133::koga štititi ili se za koga boriti kao pokrovitelj - ENG30-00896141-v:0.7816::pokazati da si u pravu pružanjem objašnjenja ili potvrda	
246-6	20154-20165	disertaciju	N	NOUN	_	_	disertacija	_	_	_	ENG30-06409085-n	1	ENG30-06409085-n	*	simple_wsd - ENG30-06409085-n:0.8824::rasprava koja donosi nove tačke gledišta kao rezultat istraživanja; obično je zahtev za više akademske titule	
246-7	20166-20167	o	PREP	ADP	_	_	o	_	_	_	_	_	_	_	_	
246-8	20168-20178	problemima	N	NOUN	_	_	problem	_	_	_	ENG30-05814650-n	4	ENG30-05687338-n;ENG30-05814650-n;ENG30-06784003-n;ENG30-14410605-n	*	simple_wsd - ENG30-05814650-n:0.8833::važna stvar o kojoj se raspravlja i koje treba rešiti - ENG30-06784003-n:0.8786::pitanje postavljeno radi razmatranja ili rešenja - ENG30-14410605-n:0.3788::stanje teškoće koje treba rešiti	
246-9	20179-20189	austrijske	A	ADJ	*	DEMO	austrijski	_	_	_	ENG30-02961099-a	1	ENG30-02961099-a	*	simple_wsd - ENG30-02961099-a:0.7351::Koji se tiče Austrije, njenih stanovnika i kulture	
